2025-09-01;14:39:16.449;[1] PING;14:39:16.993;[2/1] PONG (1)

2025-09-01;14:39:16.076;[0] PING;14:39:17.055;[3/0] PONG (1)

2025-09-01;14:39:19.322;[2] PING;14:39:19.899;[4/2] PONG (1)

2025-09-01;14:39:20.056;[3] PING;14:39:20.959;[5/3] PONG (1)

2025-09-01;14:39:20.772;[4] PING;14:39:21.711;[7/4] PONG (1)

2025-09-01;14:39:22.588;[5] PING;14:39:22.917;[8/5] PONG (1)

2025-09-01;14:39:23.709;[6] PING;14:39:24.314;[9/6] PONG (1)

2025-09-01;14:39:24.875;[7] PING;14:39:25.608;[10/7] PONG (1)

2025-09-01;14:39:25.655;[8] PING;14:39:25.889;[11/8] PONG (1)

2025-09-01;14:39:27.773;[9] PING;14:39:28.441;[13/9] PONG (1)

2025-09-01;14:39:29.455;[10] PING;14:39:29.998;[14/10] PONG (1)

2025-09-01;14:39:30.415;[11] PING;14:39:31.054;[15/11] PONG (1)

2025-09-01;14:39:32.346;[12] PING;14:39:32.504;[17/12] PONG (1)

2025-09-01;14:39:34.891;[13] PING;14:39:35.839;[18/13] PONG (1)

2025-09-01;14:39:35.931;[14] PING;14:39:36.318;[19/14] PONG (1)

2025-09-01;14:39:37.362;[0] PING;14:39:37.536;[21/0] PONG (2)

2025-09-01;14:39:37.427;[15] PING;14:39:37.897;[22/15] PONG (1)

2025-09-01;14:39:39.554;[16] PING;14:39:40.284;[23/16] PONG (1)

2025-09-01;14:39:40.284;[1] PING;14:39:40.874;[24/1] PONG (2)

2025-09-01;14:39:41.205;[2] PING;14:39:41.561;[27/2] PONG (2)

2025-09-01;14:39:42.060;[17] PING;14:39:42.701;[28/17] PONG (1)

2025-09-01;14:39:42.498;[18] PING;14:39:43.344;[29/18] PONG (1)

2025-09-01;14:39:43.437;[3] PING;(проигнорировано);(проигнорировано)

2025-09-01;14:39:44.121;[19] PING;14:39:44.261;[30/19] PONG (1)

2025-09-01;14:39:44.495;[4] PING;14:39:44.900;[31/4] PONG (2)

