2025-09-01;14:39:37.362;[0] PING;14:39:37.599;[21/0] PONG (2)

2025-09-01;14:39:40.284;[1] PING;14:39:40.906;[24/1] PONG (2)

2025-09-01;; ;14:39:41.328;keepalive [26]

2025-09-01;14:39:41.204;[2] PING;14:39:41.623;[27/2] PONG (2)

2025-09-01;14:39:44.495;[4] PING;14:39:44.931;[31/4] PONG (2)

2025-09-01;; ;14:39:46.339;keepalive [34]

2025-09-01;14:39:46.792;[5] PING;14:39:47.040;[35/5] PONG (2)

2025-09-01;14:39:43.436;[3] PING;14:39:48.482;(таймаут)

2025-09-01;14:39:48.915;[6] PING;14:39:49.349;[38/6] PONG (2)

2025-09-01;; ;14:39:51.348;keepalive [41]

2025-09-01;14:39:51.600;[7] PING;14:39:52.519;[42/7] PONG (2)

2025-09-01;14:39:52.893;[8] PING;14:39:53.814;[45/8] PONG (2)

2025-09-01;14:39:55.307;[9] PING;14:39:55.993;[46/9] PONG (2)

2025-09-01;; ;14:39:56.367;keepalive [49]

2025-09-01;14:39:56.802;[10] PING;14:39:57.407;[51/10] PONG (2)

2025-09-01;14:39:57.236;[11] PING;14:39:57.827;[52/11] PONG (2)

2025-09-01;14:39:59.626;[12] PING;14:40:00.563;[55/12] PONG (2)

2025-09-01;; ;14:40:01.374;keepalive [57]

2025-09-01;14:40:02.372;[13] PING;14:40:02.683;[60/13] PONG (2)

2025-09-01;14:40:04.236;[14] PING;14:40:04.921;[62/14] PONG (2)

2025-09-01;; ;14:40:06.397;keepalive [64]

2025-09-01;14:40:06.349;[15] PING;14:40:07.016;[65/15] PONG (2)

2025-09-01;14:40:08.321;[16] PING;14:40:08.571;[67/16] PONG (2)

2025-09-01;; ;14:40:11.403;keepalive [70]

2025-09-01;14:40:12.054;[18] PING;14:40:12.306;[71/18] PONG (2)

2025-09-01;14:40:09.502;[17] PING;14:40:14.544;(таймаут)

2025-09-01;14:40:13.610;[19] PING;14:40:14.653;[73/19] PONG (2)

2025-09-01;14:40:14.777;[20] PING;14:40:15.449;[75/20] PONG (2)

2025-09-01;; ;14:40:16.412;keepalive [77]

2025-09-01;14:40:17.002;[21] PING;14:40:17.857;[79/21] PONG (2)

2025-09-01;14:40:18.106;[22] PING;14:40:19.104;[80/22] PONG (2)

2025-09-01;; ;14:40:21.421;keepalive [84]

2025-09-01;14:40:21.062;[23] PING;14:40:21.656;[85/23] PONG (2)

2025-09-01;14:40:22.402;[24] PING;14:40:23.272;[86/24] PONG (2)

2025-09-01;14:40:23.877;[25] PING;14:40:24.380;[88/25] PONG (2)

2025-09-01;; ;14:40:26.437;keepalive [91]

2025-09-01;14:40:26.687;[27] PING;14:40:27.431;[92/27] PONG (2)

2025-09-01;14:40:27.384;[28] PING;14:40:27.601;[93/28] PONG (2)

2025-09-01;14:40:27.757;[29] PING;14:40:28.222;[94/29] PONG (2)

2025-09-01;14:40:24.285;[26] PING;14:40:29.345;(таймаут)

2025-09-01;14:40:30.717;[30] PING;14:40:30.904;[96/30] PONG (2)

2025-09-01;; ;14:40:31.452;keepalive [98]

2025-09-01;14:40:32.571;[31] PING;14:40:33.567;[101/31] PONG (2)

2025-09-01;14:40:33.940;[32] PING;14:40:34.438;[103/32] PONG (2)

2025-09-01;14:40:35.418;[33] PING;14:40:35.854;[105/33] PONG (2)

2025-09-01;; ;14:40:36.475;keepalive [107]

2025-09-01;14:40:37.830;[34] PING;14:40:38.204;[109/34] PONG (2)

2025-09-01;14:40:40.451;[35] PING;14:40:41.137;[112/35] PONG (2)

2025-09-01;; ;14:40:41.496;keepalive [114]

2025-09-01;14:40:43.058;[36] PING;14:40:43.369;[116/36] PONG (2)

2025-09-01;14:40:45.985;[37] PING;14:40:46.298;[119/37] PONG (2)

2025-09-01;; ;14:40:46.502;keepalive [122]

2025-09-01;14:40:46.345;[38] PING;14:40:46.533;[120/38] PONG (2)

2025-09-01;14:40:48.094;[39] PING;14:40:48.903;[123/39] PONG (2)

2025-09-01;14:40:49.529;[40] PING;14:40:50.028;[124/40] PONG (2)

2025-09-01;; ;14:40:51.513;keepalive [127]

2025-09-01;14:40:52.307;[41] PING;14:40:53.242;[129/41] PONG (2)

2025-09-01;14:40:53.709;[42] PING;14:40:54.429;[132/42] PONG (2)

2025-09-01;; ;14:40:56.519;keepalive [135]

