2025-08-10;21:40:14.972;[0] PING;(проигнорировано);(проигнорировано)

2025-08-10;21:40:16.732;[1] PING;21:40:17.438;[2/1] PONG (1)

2025-08-10;21:40:17.591;[2] PING;21:40:18.245;[3/2] PONG (1)

2025-08-10;21:40:20.450;[3] PING;21:40:20.941;[4/3] PONG (1)

2025-08-10;21:40:21.997;[4] PING;(проигнорировано);(проигнорировано)

2025-08-10;21:40:22.872;[5] PING;21:40:23.689;[6/5] PONG (1)

2025-08-10;21:40:24.794;[6] PING;21:40:25.685;[7/6] PONG (1)

2025-08-10;21:40:25.685;[7] PING;21:40:26.260;[8/7] PONG (1)

2025-08-10;21:40:26.481;[8] PING;21:40:26.804;[9/8] PONG (1)

2025-08-10;21:40:28.028;[9] PING;21:40:28.836;[11/9] PONG (1)

2025-08-10;21:40:28.701;[10] PING;21:40:29.393;[12/10] PONG (1)

2025-08-10;21:40:30.232;[11] PING;21:40:30.367;[13/11] PONG (1)

2025-08-10;21:40:31.701;[12] PING;21:40:32.355;[15/12] PONG (1)

2025-08-10;21:40:32.653;[13] PING;21:40:33.226;[16/13] PONG (1)

2025-08-10;21:40:35.372;[14] PING;21:40:36.198;[17/14] PONG (1)

2025-08-10;21:40:36.045;[15] PING;21:40:36.866;[18/15] PONG (1)

2025-08-10;21:40:38.357;[16] PING;21:40:38.691;[20/16] PONG (1)

2025-08-10;21:40:38.950;[17] PING;21:40:39.123;[21/17] PONG (1)

2025-08-10;21:40:40.825;[18] PING;21:40:41.396;[22/18] PONG (1)

2025-08-10;21:40:43.326;[19] PING;21:40:43.920;[24/19] PONG (1)

2025-08-10;21:40:45.341;[20] PING;21:40:45.749;[25/20] PONG (1)

2025-08-10;21:40:46.778;[21] PING;21:40:46.896;[26/21] PONG (1)

2025-08-10;21:40:47.310;[22] PING;21:40:48.301;[28/22] PONG (1)

2025-08-10;21:40:49.560;[23] PING;21:40:49.974;[29/23] PONG (1)

2025-08-10;21:40:50.294;[24] PING;21:40:51.289;[30/24] PONG (1)

2025-08-10;21:40:52.247;[25] PING;21:40:52.774;[32/25] PONG (1)

2025-08-10;21:40:54.857;[26] PING;21:40:55.393;[33/26] PONG (1)

2025-08-10;21:40:56.794;[27] PING;21:40:56.923;[34/27] PONG (1)

2025-08-10;21:40:57.716;[28] PING;(проигнорировано);(проигнорировано)

2025-08-10;21:41:00.013;[29] PING;21:41:01.012;[36/29] PONG (1)

2025-08-10;21:41:00.826;[30] PING;21:41:01.494;[37/30] PONG (1)

2025-08-10;21:41:02.591;[31] PING;21:41:03.199;[39/31] PONG (1)

2025-08-10;21:41:05.497;[32] PING;(проигнорировано);(проигнорировано)

2025-08-10;21:41:07.623;[33] PING;21:41:07.755;[41/33] PONG (1)

2025-08-10;21:41:08.857;[34] PING;21:41:09.256;[42/34] PONG (1)

2025-08-10;21:41:11.857;[36] PING;21:41:12.042;[43/36] PONG (1)

2025-08-10;21:41:11.560;[35] PING;21:41:12.135;[45/35] PONG (1)

2025-08-10;21:41:13.060;[37] PING;21:41:13.486;[46/37] PONG (1)

2025-08-10;21:41:13.575;[38] PING;(проигнорировано);(проигнорировано)

2025-08-10;21:41:15.778;[39] PING;21:41:16.350;[47/39] PONG (1)

2025-08-10;21:41:17.575;[40] PING;21:41:18.103;[49/40] PONG (1)

2025-08-10;21:41:19.372;[41] PING;21:41:19.807;[50/41] PONG (1)

2025-08-10;21:41:20.451;[42] PING;21:41:21.419;[51/42] PONG (1)

2025-08-10;21:41:22.982;[43] PING;21:41:23.139;[53/43] PONG (1)

2025-08-10;21:41:25.310;[44] PING;(проигнорировано);(проигнорировано)

2025-08-10;21:41:27.513;[45] PING;21:41:28.019;[55/45] PONG (1)

2025-08-10;21:41:28.825;[46] PING;21:41:29.306;[56/46] PONG (1)

2025-08-10;21:41:30.763;[47] PING;21:41:31.392;[57/47] PONG (1)

2025-08-10;21:41:33.091;[48] PING;21:41:33.332;[59/48] PONG (1)

2025-08-10;21:41:36.029;[49] PING;21:41:36.885;[60/49] PONG (1)

2025-08-10;21:41:36.763;[50] PING;21:41:37.765;[62/50] PONG (1)

2025-08-10;21:41:37.466;[51] PING;21:41:37.766;[63/51] PONG (1)

